number	source	itemNum	status	優先順位	day	Part	word	tittle	audioFile	pronunciation	meaning	audioPath	exampleFile	example
69	キクタンTOEIC TEST SCORE 990	0069	覚えた	名詞：超必修240	5	"2,3"	revision	修正、改訂、改定	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\revision.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\revision.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\revision.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\revision.mp3	"make an upward [a downward] revision to ～（～を上方［下方］修正する）
revision of prices（価格の改定）
The budget needs significant revision.（その予算案はかなりの修正が必要だ）"
70	キクタンTOEIC TEST SCORE 990	0070	微妙	名詞：超必修240	5	4	wholesale	卸売り（⇔retail：小売り）/[形]卸売りの	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\wholesale.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\wholesale.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\wholesale.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\wholesale.mp3	"at [by] wholesale（卸売りで）
Wholesale is much cheaper than retail.（卸売りは小売りよりずっと安い）"
71	キクタンTOEIC TEST SCORE 990	0071	微妙	名詞：超必修240	5	"2,3"	diagnosis	診断	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\diagnosis.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\diagnosis.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\diagnosis.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\diagnosis.mp3	"a diagnosis of diabetes（糖尿病の診断）
make a diagnosis（診断する）
What was the diagnosis from your doctor?（医者の診断はどうでしたか?）"
72	キクタンTOEIC TEST SCORE 990	0072	覚えた	名詞：超必修240	5	"5,6"	duration	期間、継続期間	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\duration.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\duration.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\duration.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\duration.mp3	"the duration of life（生存期間）
for the duration of ～（～の期間中）
I stayed at my friend's house for the duration of my holiday in Hong Kong.（私は香港での休暇の間、友人の家に滞在した）"
73	キクタンTOEIC TEST SCORE 990	0073	微妙	名詞：超必修240	5	"5,6"	renovation	改装	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\renovation.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\renovation.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\renovation.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\renovation.mp3	"extensive renovations（大規模な改装［修復］）
technological renovation（技術革新）
The department store is temporarily closed for renovation.（そのデパートは改装のため一時休業している）"
74	キクタンTOEIC TEST SCORE 990	0074	覚えた	名詞：超必修240	5	"2,3"	vacancy	"空席, 空き室"	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\vacancy.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\vacancy.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\vacancy.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\vacancy.mp3	"a vacancy rate（空室率）
fill the vacancy for ～（～の欠員を補充する）
I tried to reserve a hotel room but there were no vacancies. （私はホテルの部屋を予約しようとしたが、空室がなかった）"
75	キクタンTOEIC TEST SCORE 990	0075	覚えた	名詞：超必修240	5	7	attendee	出席［参加］者	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\attendee.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\attendee.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\attendee.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\attendee.mp3	"conference attendees（会議の出席者）
event attendees（イベントの参加者）
Refreshments will be provided for all attendees.（軽食が全出席者に提供される予定だ）"
76	キクタンTOEIC TEST SCORE 990	0076	微妙	名詞：超必修240	5	1	leaflet	ちらし、ビラ（≒flier）／～にちらしを配る	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\leaflet.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\leaflet.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\leaflet.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\leaflet.mp3	"hand [pass] out leaflets（ちらしを配る）
advertising leaflets（広告ちらし）
The woman is handing out leaflets to passersby.（女性は通行人にちらしを配っている）"
77	キクタンTOEIC TEST SCORE 990	0077	覚えた	名詞：超必修240	5	4	resignation	辞職、辞表	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\resignation.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\resignation.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\resignation.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\resignation.mp3	"the resignation of a cabinet（内閣総辞職）
hand in one's resignation（辞表を提出する）
The prime minister rejected calls for his resignation.（首相は辞任要求を退けた）"
78	キクタンTOEIC TEST SCORE 990	0078	微妙	名詞：超必修240	5	"5,6"	supplement	補給剤、栄養補助食品、追加，補足，補充；	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\supplement.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\supplement.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\supplement.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\supplement.mp3	"vitamin C supplements（ビタミンC補給剤）
a Sunday supplement（［新聞の］日曜版）
The doctor told me to take calcium supplements every day.（医者はカルシウムの補給剤を毎日服用するよう私に言った）"
79	キクタンTOEIC TEST SCORE 990	0079	微妙	名詞：超必修240	5	7	lease	賃貸借契約／賃貸借する	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\lease.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\lease.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\lease.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\lease.mp3	"a 10-year [6-month] lease（10年［6カ月］の賃貸借契約）
take out a lease on ～（～を賃借する）
My apartment lease expires on March 31.（私のアパートの賃貸借契約は3月31日に期限が切れる）"
80	キクタンTOEIC TEST SCORE 990	0080	覚えた	名詞：超必修240	5	"2,3"	shuttle	シャトル便のバス／往復運転で運ぶ	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\shuttle.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\pronunciation\shuttle.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\meaning\shuttle.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day5\sentence\shuttle.mp3	"take the shuttle from the airport to the city center（空港から都心まで定期往復便に乗る）
The hotel has a free shuttle bus between the airport and the hotel.（そのホテルには空港とホテル間の無料往復バスがある）"
81	キクタンTOEIC TEST SCORE 990	0081	覚えていない	名詞：超必修240	6	1	diner	食事客	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\diner.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\diner.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\diner.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\diner.mp3	"restaurant diners（レストランの食事客）
a diner along the road（道路沿いの簡易食堂）
The restaurant is almost full of diners.（レストランは食事客でほぼ満席である）"
82	キクタンTOEIC TEST SCORE 990	0082	微妙	名詞：超必修240	6	1	hallway	廊下、通路（≒corridor）、玄関（の広間）	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\hallway.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\hallway.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\hallway.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\hallway.mp3	"an empty hallway（人がいない廊下）
There are rooms on both sides of the hallway.（廊下の両側に部屋がある）"
83	キクタンTOEIC TEST SCORE 990	0083	微妙	名詞：超必修240	6	1	intersection	交差点	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\intersection.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\intersection.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\intersection.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\intersection.mp3	"turn left at the next intersection（次の交差点で左折する）
a T-intersection（T字路）
There are no vehicles at the intersection.（交差点には車が1台も止まっていない）"
84	キクタンTOEIC TEST SCORE 990	0084	微妙	名詞：超必修240	6	7	subscription	定期購読	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\subscription.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\subscription.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\subscription.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\subscription.mp3	"take out a subscription to ～（～を定期購読する）
A renewal notification will be sent to you 7 to 8 weeks before your subscription expires.（定期購読が切れる7、8週間前に更新のお知らせが送られる）"
85	キクタンTOEIC TEST SCORE 990	0085	覚えていない	名詞：超必修240	6	4	bankruptcy	倒産、破産	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\bankruptcy.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\bankruptcy.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\bankruptcy.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\bankruptcy.mp3	"declare bankruptcy（破産を宣告する）
file for bankruptcy（破産を申請する）
The number of bankruptcies in small businesses has been rising.（中小企業の倒産件数が増加している）"
86	キクタンTOEIC TEST SCORE 990	0086	微妙	名詞：超必修240	6	"5,6"	bulk	大部分	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\bulk.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\bulk.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\bulk.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\bulk.mp3	"the bulk of the cost（経費の大部分）
bulk buying [production]（大量購入［生産］）
Compact and mid-size cars account for the bulk of car sales. （小型車と中型車は自動車販売の大部分を占めている）"
87	キクタンTOEIC TEST SCORE 990	0087	微妙	名詞：超必修240	6	7	incentive	報酬、刺激	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\incentive.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\incentive.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\incentive.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\incentive.mp3	"have little incentive to do ～（～する動機がほとんどない）
economic incentives（経済的刺激）
Bonuses give employees an incentive to work harder.（ボーナスはより熱心に働く動機を従業員に与える）"
88	キクタンTOEIC TEST SCORE 990	0088	覚えた	名詞：超必修240	6	7	indicator	指標。指針	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\indicator.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\indicator.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\indicator.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\indicator.mp3	"Economic indicators suggest that the economy is starting to recover.経済指標によると、景気が回復し始めている。
an economic indicator（経済指標）
a speed indicator（速度計）
Various indicators show that the economy is already on track to recovery.（経済が既に回復段階にあることをさまざまな指標が示している）"
89	キクタンTOEIC TEST SCORE 990	0089	微妙	名詞：超必修240	6	"5,6"	predecessor	前任者、前機種	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\predecessor.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\predecessor.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\predecessor.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\predecessor.mp3	"take over a job from a predecessor（前任者から仕事を引き継ぐ）
The new iPod is thinner than its predecessors.（新しいiPodは以前のものよりも薄い）"
90	キクタンTOEIC TEST SCORE 990	0090	微妙	名詞：超必修240	6	7	surplus	余分な／余り、黒字	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\surplus.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\surplus.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\surplus.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\surplus.mp3	"a trade surplus（貿易黒字）
in surplus（余分［過剰］に）
When revenue is higher than spending, the government budget is in surplus.（歳入が歳出よりも多い場合、政府予算は黒字になる）"
91	キクタンTOEIC TEST SCORE 990	0091	覚えていない	名詞：超必修240	6	"5,6"	advocate	提唱者、支持者／提唱する	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\advocate.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\advocate.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\advocate.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\advocate.mp3	"an advocate of peace（平和論者）
She is an influential advocate of education reform.（彼女は教育改革の影響力のある支持者だ）"
92	キクタンTOEIC TEST SCORE 990	0092	微妙	名詞：超必修240	6	7	breakthrough	"（交渉などの）進展、打開（in ～）,　（研究などの）大発見、大躍進（in ～）"	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\breakthrough.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\breakthrough.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\breakthrough.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\breakthrough.mp3	"a breakthrough in the negotiation（交渉の進展）
make a breakthrough in ～（～において大発見をする）
The scientist made a major breakthrough in cancer treatment. （その科学者はがん治療を大きく進展させた）"
93	キクタンTOEIC TEST SCORE 990	0093	覚えていない	名詞：超必修240	6	"2,3"	courier	宅配業者	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\courier.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\courier.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\courier.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\courier.mp3	"I sent the package by courier.　その小包を宅配便で送った。
a motorcycle courier（バイク便）
He sent the documents by courier.（彼はその書類を宅配便で送った）"
94	キクタンTOEIC TEST SCORE 990	0094	覚えた	名詞：超必修240	6	"5,6"	stationery	（集合的に）文房具、事務用品、便箋	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\stationery.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\stationery.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\stationery.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\stationery.mp3	"a stationery store（文房具店）
personalized stationery（名前入りの便箋）
She works in the stationery section of a department store.（彼女はデパートの文房具売り場に勤めている）"
95	キクタンTOEIC TEST SCORE 990	0095	微妙	名詞：超必修240	6	4	turbulence	?乱気流　?（社会的）動乱、騒乱	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\turbulence.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\turbulence.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\turbulence.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\turbulence.mp3	"encounter turbulence（乱気流に遭遇する）
political turbulence（政治的動乱）
Please fasten your seat belts; there is turbulence ahead.（シートベルトを着用してください。進行方向に乱気流があります） 機内アナウンス"
96	キクタンTOEIC TEST SCORE 990	0096		名詞：超必修240	6	7	cuisine	（ある地方・ホテルなどに特有の）料理（法）	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\cuisine.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\pronunciation\cuisine.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\meaning\cuisine.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day6\sentence\cuisine.mp3	
97	キクタンTOEIC TEST SCORE 990	0097	微妙	名詞：超必修240	7	"5,6"	fluctuation	変動	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\fluctuation.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\pronunciation\fluctuation.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\meaning\fluctuation.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\sentence\fluctuation.mp3	"fluctuations in temperature [stock prices]（気温［株価］の変動）
This study analyzes the nature and causes of business fluctuations.（この研究は景気変動の特質と原因を分析している）"
98	キクタンTOEIC TEST SCORE 990	0098	微妙	名詞：超必修240	7	7	installation	インストール、取り付け、就任［任命］（式）	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\installation.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\pronunciation\installation.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\meaning\installation.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\sentence\installation.mp3	"the installation of an air conditioner（エアコンの取りつけ）
the installation of the new president（新大統領の就任式）
The installation of electrical cables must be done by experts. （電気ケーブルの取りつけは専門の人によって行われなければならない）"
99	キクタンTOEIC TEST SCORE 990	0099	微妙	名詞：超必修240	7	"2,3"	medication	薬剤、薬、医薬	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\medication.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\pronunciation\medication.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\meaning\medication.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\sentence\medication.mp3	"be on medication for cancer がんで薬物治療を受けている.
prescribe (a) medication 薬を処方する.
be on medication for ～（～の薬物治療を受けている）
a flu medication（インフルエンザの薬）
 Are you currently taking any medication?（現在服用している薬はありますか?）"
100	キクタンTOEIC TEST SCORE 990	0100	微妙	名詞：超必修240	7	"2,3"	bin	ごみ箱（≒can）、容器	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\bin.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\pronunciation\bin.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\meaning\bin.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\sentence\bin.mp3	"throw garbage [litter, trash, rubbish] in the bin（ごみをごみ箱に捨てる）
a bread bin（パン入れ）
There are recycling bins in front of the store.（店の前にリサイクル用の容器がある）"
101	キクタンTOEIC TEST SCORE 990	0101	微妙	名詞：超必修240	7	7	constraint	制限、制約	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\constraint.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\pronunciation\constraint.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\meaning\constraint.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\sentence\constraint.mp3	"The company had to rethink its plans because of budget constraints.その会社は予算に制限があるため、計画を見直さなければならなかった。
by constraint 無理に，強いて
financial constraints（財政的制約）
under constraint（やむを得ずに、強いられて）
The construction of the bridge was canceled due to budget constraints.（その橋の建設は予算の制約のため取り消された）"
102	キクタンTOEIC TEST SCORE 990	0102	微妙	名詞：超必修240	7	7	delegate	"（政治的会議などの）代表者、使節
（/d?lig?it/） ?（任務など）を（…に）委任する[]（to . . .）　?～を（…するよう
に）代表に立てる（to do）
[動]delegation：（集合的に）代表［派遣］団"	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\delegate.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\pronunciation\delegate.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\meaning\delegate.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\sentence\delegate.mp3	"a US delegate to the UN（アメリカの国連代表）
Delegates from 187 countries met to begin framing a new
global warming treaty.（新しい地球温暖化条約の立案を始めるために、187カ国の代表者たちが集まった）"
103	キクタンTOEIC TEST SCORE 990	0103	微妙	名詞：超必修240	7	4	excerpt	抜粋、引用	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\excerpt.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\pronunciation\excerpt.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\meaning\excerpt.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day7\sentence\excerpt.mp3	"an excerpt from the poem（その詩からの抜粋）
This is an excerpt from Kazuo Ishiguro's novel.（これはカズオ・イシグの小説からの抜粋だ）"
